Game Date,Visitor,Visitor Score,Home,Home Score,Game URL,OT
17-11-2019 18:00,Denver Nuggets,131,Memphis Grizzlies,114,https://www.basketball-reference.com/boxscores/201911170MEM.html,
17-11-2019 18:00,Washington Wizards,121,Orlando Magic,125,https://www.basketball-reference.com/boxscores/201911170ORL.html,
17-11-2019 19:00,Golden State Warriors,100,New Orleans Pelicans,108,https://www.basketball-reference.com/boxscores/201911170NOP.html,
17-11-2019 21:30,Atlanta Hawks,101,Los Angeles Lakers,122,https://www.basketball-reference.com/boxscores/201911170LAL.html,
18-11-2019 19:00,Cleveland Cavaliers,105,New York Knicks,123,https://www.basketball-reference.com/boxscores/201911180NYK.html,
18-11-2019 19:30,Indiana Pacers,115,Brooklyn Nets,86,https://www.basketball-reference.com/boxscores/201911180BRK.html,
18-11-2019 19:30,Charlotte Hornets,96,Toronto Raptors,132,https://www.basketball-reference.com/boxscores/201911180TOR.html,
18-11-2019 20:00,Milwaukee Bucks,115,Chicago Bulls,101,https://www.basketball-reference.com/boxscores/201911180CHI.html,
18-11-2019 20:00,Portland Trail Blazers,108,Houston Rockets,132,https://www.basketball-reference.com/boxscores/201911180HOU.html,
18-11-2019 20:30,San Antonio Spurs,110,Dallas Mavericks,117,https://www.basketball-reference.com/boxscores/201911180DAL.html,
18-11-2019 21:00,Boston Celtics,99,Phoenix Suns,85,https://www.basketball-reference.com/boxscores/201911180PHO.html,
18-11-2019 21:00,Minnesota Timberwolves,112,Utah Jazz,102,https://www.basketball-reference.com/boxscores/201911180UTA.html,
18-11-2019 22:30,Oklahoma City Thunder,88,Los Angeles Clippers,90,https://www.basketball-reference.com/boxscores/201911180LAC.html,
19-11-2019 20:00,Golden State Warriors,114,Memphis Grizzlies,95,https://www.basketball-reference.com/boxscores/201911190MEM.html,
19-11-2019 20:00,Portland Trail Blazers,104,New Orleans Pelicans,115,https://www.basketball-reference.com/boxscores/201911190NOP.html,
19-11-2019 22:00,Phoenix Suns,116,Sacramento Kings,120,https://www.basketball-reference.com/boxscores/201911190SAC.html,
19-11-2019 22:30,Oklahoma City Thunder,107,Los Angeles Lakers,112,https://www.basketball-reference.com/boxscores/201911190LAL.html,
